w,"DSSIM(M4,raw)","DSSIM(M4-LSM,raw)","DSSIM(MinMax,raw)","DSSIM(LTTB,raw)",n_raw,n_m4,n_m4_lsm,n_minmax,n_lttb
100,0.0028901416962661686,0.0028901416962661686,0.014741570545396654,0.04292636714999726,7193198,360,360,356,400
200,0.005145120457668351,0.005145120457668351,0.017453767908584217,0.03852581030516666,7193198,710,710,708,800
500,0.0030777925864909905,0.0030777925864909905,0.012475413956728743,0.033071045492051976,7193198,1763,1763,1764,2000
1000,0.0031668462234968886,0.0031668462234968886,0.008826256686038314,0.019155010913822046,7193198,3512,3512,3524,4000
2000,0.0030546164596077507,0.0030546164596077507,0.006624951928381528,0.016306299803412028,7193198,6999,6999,7022,8000
4000,0.001911488409439721,0.001911488409439721,0.0041176545216990434,0.011331015979673176,7193198,13926,13926,14001,16000
